Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address
Kings				5	Crown Street	Aberdeen	Pastry Cooks			
J.W Reid				7	Crown Street	Aberdeen	Auctioneer			
		Miss Agnes Alexander		7a	Crown Street	Aberdeen				
Francis R. Gordon				9	Crown Street	Aberdeen	Insurance Broker			
Northern Key Registry				9	Crown Street	Aberdeen				
Pat Grant				9-11	Crown Street	Aberdeen	Hairdresser			
J.C. Martin				13-15	Crown Street	Aberdeen	Butchers			
Will Jameson				17	Crown Street	Aberdeen	Turf Accountant			
Gregg Schools LTD				19	Crown Street	Aberdeen				
Simpson's Furnishing and Co LTD				23	Crown Street	Aberdeen				
Prudential Assurance Co LTD				25	Crown Street	Aberdeen		J Ritchie Superintendent		
Scottish Women's Rural Institute N.E. Area				25	Crown Street	Aberdeen				
Central Aberdeenshire Unionist Association				25	Crown Street	Aberdeen		"Thomas Johnston, com Agent"		
Libby McNeil and Libby LTD				25	Crown Street	Aberdeen				
Roy Meldrum				25	Crown Street	Aberdeen	Architect			
Catholic Herald 				25	Crown Street	Aberdeen	Office	Edwin J Cormack		
The Aberdeen Box and Barrel Manufacturers' Association	1932			25	Crown Street	Aberdeen				
Provident Mutal Life Assurance Association				25	Crown Street	Aberdeen				
Fishery Board for Scotland				25	Crown Street	Aberdeen	Consulting Engineer Offices			
Stubbs'				25	Crown Street	Aberdeen	Mercantile Offices			
Auther A. Smart and Son				25	Crown Street	Aberdeen				
George W. Bruce				25	Crown Street	Aberdeen				
Alexander Robb				25	Crown Street	Aberdeen	Manufacturers Agent			
Britannic Assurance Co LTD			Britannic House	27	Crown Street	Aberdeen				
Income Tax Assessor office			Britannic House	27	Crown Street	Aberdeen				
Inland Revenue Inspector of Taxes office			Britannic House	27	Crown Street	Aberdeen		"D Matheson 1st District, H. Buxton 2nd District, W.M Tait, 4th District"		
Remington Typewriter Co LTD			Britannic House	27	Crown Street	Aberdeen				
Caribonum LTD			Britannic House	27	Crown Street	Aberdeen				
Norman M Sandieson			Britannic House	27	Crown Street	Aberdeen	Naturopath		4330	
Claude Frederick Haine			Britannic House	27	Crown Street	Aberdeen	Dental Surgeon			
May Milne			Britannic House	27	Crown Street	Aberdeen				
Co-operative Permanent Building Society			Britannic House	27-29	Crown Street	Aberdeen				
R.Duthie Jack			Britannic House	27-29	Crown Street	Aberdeen				
R.S.S.P.C.C			Britannic House	27-29	Crown Street	Aberdeen				
S.M.Window Cleaners' Assos			Britannic House	27-29	Crown Street	Aberdeen				
N.E Liberal Federation			Britannic House	27-29	Crown Street	Aberdeen				
National Mutal Indem Insurance Soc			Britannic House	27-29	Crown Street	Aberdeen				
Esslemont and Cameron				57	Crown Street	Aberdeen	Advocates and Notaries			
Scottish Life Assurance Co LTD				57	Crown Street	Aberdeen				
Aberdeen Granite Manufacturers Association				57	Crown Street	Aberdeen				
Wm Brown				57	Crown Street	Aberdeen	Solicitor			
Mrs G Bridgewater				69	Crown Street	Aberdeen				
George Bishop				69	Crown Street	Aberdeen	Con Eng			
N. McL. Douglas				71	Crown Street	Aberdeen				
Provincial Insurance Co Ltd				73	Crown Street	Aberdeen	Insurance	J. W Dunn Resident Secretary		
"Scott, Gardiner and Co"				73	Crown Street	Aberdeen				
"Misses Florence,"				75	Crown Street	Aberdeen	Milliners and Dressmaker			
MacKenzie and Wilson				77	Crown Street	Aberdeen	Advocates			
Duncan D Campbell				77	Crown Street	Aberdeen	Solicitor			
Phillip S. Pimley				81	Crown Street	Aberdeen	Dentist			
John Still				83a	Crown Street	Aberdeen	House Agent			
Aberdeen Masonic Temple				87	Crown Street	Aberdeen				
Rev. Canon Moir .M.A	 			89	Crown Street	Aberdeen				
Scotch Girls Friendly Society				91	Crown Street	Aberdeen				
Mrs E M. Arthur				93	Crown Street	Aberdeen				
Misses Daniel				95	Crown Street	Aberdeen				
Christie Bros (Aberdeen) LTD				97	Crown Street	Aberdeen	The Crown Paper and Printing Works			
Robert Spence 				97	Crown Street	Aberdeen				
Wood and Whitson				97	Crown Street	Aberdeen				
Wm J Warwick				99	Crown Street	Aberdeen				
James Smith				101	Crown Street	Aberdeen				
D. and J.R. McMillan				105	Crown Street	Aberdeen	Architectect			
C. Callum				111	Crown Street	Aberdeen				
Mrs Shearer				113	Crown Street	Aberdeen				
C.A.Michie				117	Crown Street	Aberdeen				
James Hutcheon				121a	Crown Street	Aberdeen	Baker			
Henry Christie				123_	Crown Street	Aberdeen	Tweed Remnant Warehouse			
Misses J and N. Blake				125	Crown Street	Aberdeen	Costumieres			
N. Co-op. Socy LTD				127	Crown Street	Aberdeen	Chemist			
A.B. Hutchison				131	Crown Street	Aberdeen	Baker			
Harry Watt				133	Crown Street	Aberdeen				
H. Stroud				137	Crown Street	Aberdeen	Watchmaker			
David Ross				137a	Crown Street	Aberdeen	Painter			
Robert Gray				145	Crown Street	Aberdeen				
Miss Mundie 				151	Crown Street	Aberdeen	Dressmaker			
Miss Jackson				151	Crown Street	Aberdeen				
Miss Ruthven				157	Crown Street	Aberdeen				
Peter Christie				159a	Crown Street	Aberdeen	Hairdressers			
Forbes Philip				159	Crown Street	Aberdeen	Bookseller			
