Business Name	Business Established 	Residential	House No	Building Name	Address	City	Business Type	Local Agent	Telephone No	Telegraphic Address
"Findlay & Co., Ltd."			5		Dee Street	Aberdeen	Tobacconists			
Adam Gordon			 7 - 9		Dee Street	Aberdeen	Baker			
James Fyfe & Son			11		Dee Street	Aberdeen	Painters			
Miss McKenzie Fraser			11A		Dee Street	Aberdeen	Ladies' outfitter			
		Miss Souden	11A		Dee Street	Aberdeen				
Lucille			11A		Dee Street	Aberdeen	Hairdresser			
John Summers			"13, 14"		Dee Street	Aberdeen	Plumber			
Lumsden & Davidson			15		Dee Street	Aberdeen	Advocates			
		Mrs. Webster	31		Dee Street	Aberdeen				
Robert L. Selbie			31		Dee Street	Aberdeen	"Secretary (T. O. and Son, Ltd.)"			
		Harry G. Forrest	33		Dee Street	Aberdeen				
"Wm. Bain (Aberdeen), Ltd"			33		Dee Street	Aberdeen				
"Ducat & McRobb, Ltd."			33		Dee Street	Aberdeen				
Methlick Bus Stance			35		Dee Street	Aberdeen				
Miss M. B. Bannerman			39		Dee Street	Aberdeen	Music teacher			
Young Women's Hostel and Christian Institute			55 & 57		Dee Street	Aberdeen				
		Geo. B. Tough	59		Dee Street	Aberdeen				
Miss Pyper			69		Dee Street	Aberdeen	Sprain rubber			
James Cromar Watt			71		Dee Street	Aberdeen	Artist			
Edwin McDonald			73	Colwyn House	Dee Street	Aberdeen				
		Miss Hay	75		Dee Street	Aberdeen				
"Thomas Ogilvie & Son, Ltd."			77		Dee Street	Aberdeen	Woollen merchants			
"Watt & Grant, Ltd"					Dee Street	Aberdeen	Silk mercers.			
Davidson & Garden			12		Dee Street	Aberdeen	Advocates			
David Moir			20A		Dee Street	Aberdeen	Blacksmith			
Mrs. Simpson			22		Dee Street	Aberdeen	Music teacher			
		Miss Isabella Reid	26		Dee Street	Aberdeen				
"The General Billposting Co., Ltd."			38-40		Dee Street	Aberdeen				
John Campbell			46		Dee Street	Aberdeen	Plasterer			
		Mrs. M. A. Hall	50		Dee Street	Aberdeen				
Cumming's Hotel			54 & 56		Dee Street	Aberdeen				
Whyte & Connon			58		Dee Street	Aberdeen				
		Robert C. May	58		Dee Street	Aberdeen				
Royal Northern Agricultural Soc.			58		Dee Street	Aberdeen				
		Wm. Findlay	60		Dee Street	Aberdeen				
Aberdeen Young Women's Hostel (Church of Scotland)			76-78		Dee Street	Aberdeen				
