Business Name	Business Established	Residential 	House No	Building Name	Address	City	Business Type	Local Agent	Telephone No	Telegraphic Address
Francis J. Scott & Gilchrist			1		Diamond Street	Aberdeen	Solicitors		2577	
James Philip			1		Diamond Street	Aberdeen	Solicitor		2577	
W. Simpson			4		Diamond Street	Aberdeen	Fine art dealer		956	
Arcade Motor Garage			6		Diamond Street	Aberdeen			1783	
J. C. Calder			9		Diamond Street	Aberdeen	"Optician, watchmaker and jeweller"			
The Palais de Danse			13 & 15 		Diamond Street	Aberdeen		"Ernest A. Bromberg, managing director"	4005	
The News Cinema			13 & 15		Diamond Street	Aberdeen		"Ernest A. Bromberg, managing director"	6514	
G. G. Tedcastle			11		Diamond Street	Aberdeen	Billiard room proprietor			
Charles Playfair & Co			18		Diamond Street	Aberdeen	Gun and fishing tackle makers		3925	
"W. E. Gauld, F.R.I.B.A."			19		Diamond Street	Aberdeen	Architect and valuator		1412	
"Forbes Gordon, A.M.Inst.B.E."			23		Diamond Street	Aberdeen	"Plumber, gasfitter, sanitary, heating and electrical engineer"		3417	
William Fraser			23	Ruby Works	Diamond Street	Aberdeen	Wholesale stationer and printer		2492	
