Business Name	Business Established	Residential	House Number	Building Name	Address	City	Business Type	Local Agent	Telephone No.	Telegraphic Address		OSM_ID	OSM_NOTE																
Athenaeum Hotel & Restaurant 					7 Union St	Aberdeen	Hotel																						
"Findlay & Co., Ltd."					17 Union St	Aberdeen	Tobacconists																						
Mrs Gordon					19 Union St	Aberdeen	Boarding house																						
Miss Marion Hay					19 Union St	Aberdeen	Servants' register and house agent																						
George Alexander					19 Union St	Aberdeen	"Solicitor, notary public and Justice of Peace Procurator-Fiscal of Aberdeenshire"		777																				
"Aberdeen Highland Association; hon. secy. and treas., William Watt"					19 Union St	Aberdeen	Agriculture																						
"Aberdeen Mutual Assurance and Friendly Society; secretary, George Alexander"					19 Union St	Aberdeen	Insurance																						
J. F. Gillan					19 Union St	Aberdeen	Advocate		777																				
Dundee Equitable Boot Depot; manager Daniel McCowan					21 Union St (Shiprow)	Aberdeen	Retail																						
Ross and Ledingham					23 Union St	Aberdeen	Drapers																						
"Mitchell and Muil, Ltd."					25 & 25A Union St	Aberdeen	"Bakers, luncheon & tea rooms"																						
Press Photos; Cecil Skene					29 Union St	Aberdeen	Press and commercial photographer																						
"Maypole Dairy Co., Ltd.; manager, George Mutch"					31 Union St	Aberdeen	Agriculture																						
G. H. Swapp					33 Union St	Aberdeen	Optician		999																				
"G. S. Esson, M.A"					35A Union St	Aberdeen	Solicitor		2381																				
"George Anderson, C.A."					35A Union St	Aberdeen	Chartered accountant		2684																				
Alexander Cruden					35A Union St	Aberdeen	Accountant																						
Mackay Bros. & Co. (Aberdeen) Ltd.					35A Union St	Aberdeen	"Passenger shipping, railway and tourist agents"																						
Norman C Howarth					35A Union St	Aberdeen	Dentist																						
"Paul Bros., Ltd; Richard Wilson, agent"					35A Union St	Aberdeen	Flourmills																						
"Price's Patent Candle Co., Ltd"					35A Union St	Aberdeen	Candle makers																						
"Appleton, Machin & Smiles, Ltd."					35A Union St	Aberdeen	Tea and coffee merchant		6833																				
"H. P. Tyler, Ltd."					37 Union St	Aberdeen	Boot and shoe warehouse																						
British Vacuum Cleaner Co.				Crown Mansions	41 1/2 Union St	Aberdeen	Vacuum cleaners																						
Ross & Company				Crown Mansions	41 1/2 Union St	Aberdeen	Typewriter and duplicator supplies manufacturers																						
H. J. Gray & Connachie				Crown Mansions	41 1/2 Union St	Aberdeen	Advocates		1237																				
W. Dixon Connochie				Crown Mansions	41 1/2 Union St	Aberdeen	Solicitor																						
