Business Name	Business Established	Address	City	Business Type	Telephone Number	OSM_ID	OSM_NOTE
"Montague Burton, Ltd"		73 & 79 Union Street	Aberdeen	Tailor			
Maison Louis		73A & 79A Union Street	Aberdeen	Ladies' and gent.'s hairdresser			
"Empress Café, Ltd."		83 & 85 Union Street	Aberdeen	Cafe	2972		
"The True Form Boot Co, Ltd."		87 Union Street	Aberdeen	Boot manufacturer			
Alexander T. Milne		89 Union Street	Aberdeen	Optician			
Aberdeen-Angus Cattle Society		91 Union Street	Aberdeen				
Alex Scatterty		91 Union Street	Aberdeen	Com. agent			
Eric C. Finlayson		91 Union Street	Aberdeen	Chartered accountant	898		
The Acetylene Corporation of Great Britain Ltd.		91 Union Street	Aberdeen	Carbide manufacturers			
John D. Robbie		91 Union Street	Aberdeen	Coke merchant			
James Webster		91 Union Street	Aberdeen	Messenger			
Railway Passengers Assurance Co.		93 Union Street	Aberdeen	Insurance			
"North British and Mercantile Insurance Co., Ltd."	1809	93 Union Street	Aberdeen	Insurance	"4812, 4813"		
"Fine Art and General Insurance Co., Ltd."		93 Union Street	Aberdeen	Insurance	5812		
Lumsden & Gibson		95 Union Street	Aberdeen	Grocers			
"James Grant & Co., Ltd."		97 Union Street	Aberdeen	House furnishers	3440		
Manfield & Sons		99 Union Street	Aberdeen	Boot Warehouse			
Princess Café		101 Union Street	Aberdeen	Cafe			
Telfer & Co.		103 Union Street	Aberdeen	Manufacturers and wholesale warehousemen			
"A. C. Little & Sons, Ltd."		105 Union Street	Aberdeen	Costumiers and furriers			
Robert Hunter		107–109 Union Street	Aberdeen	Chemist			
F. W. Woolworth & Co. Ltd		119 Union Street	Aberdeen	Departmental stores			
"John F. Neave, Ltd."		119A Union Street	Aberdeen	Hairdressers	2315		
"The Home & Colonial Stores, Ltd."		121 Union Street	Aberdeen	Tea merchant			
"Fleming, Reid & Co."		123 Union Street	Aberdeen	Scotch wool and hosiery stores			
Royal Liver Friendly Society		123 1/2 Union Street	Aberdeen	Insurance			
Aberdeen & District Motor Club		123 1/2 Union Street	Aberdeen		192		
"The Federated Employers' Insurance Association, Ltd."		123 1/2 Union Street	Aberdeen				
Canada Life Assurance Co.	1847	123 1/2 Union Street	Aberdeen	Insurance	1360		
"Paton, Lythgoe & Co."		123 1/2 Union Street	Aberdeen				
"Paton's Shipping Offices, Ltd."		123 1/2 Union Street	Aberdeen	Shipping agents			
Northern Pools		123 1/2 Union Street	Aberdeen		5841		
Walker & Johnston		123 1/2 Union Street	Aberdeen	Comission agents	5841		
George Dawson Cable		123 1/2 Union Street	Aberdeen	Check trader			
D.L. Debt Recovery Agency		123 1/2 Union Street	Aberdeen	Debt recovery			
"Phillips & Piper, Ltd."		123 1/2 Union Street	Aberdeen	Clothing manufacturers			
Robt. J. G. Menzies		123 1/2 Union Street	Aberdeen				
T. M. Newbigging		123 1/2 Union Street	Aberdeen	Solicitor			
Helen Cassie		123 1/2 Union Street	Aberdeen	Solicitor	2626		
"W. Barratt & Co., Ltd."		125 Union Street	Aberdeen	Boot and shoe makers			
"The Hosiery Manufacturing Coy., Ltd."		131 Union Street	Aberdeen	Hosiery manufacturing			
Boots The Chemists		131 1/2 to 139 Union Street	Aberdeen	Chemists			
W. J. Cruickshank		139 Union Street	Aberdeen	Dentist			
"J. Hutcheon, M.B, Ch.B"		139 Union Street	Aberdeen	Physician and surgeon			
"Saxone Shoe Co., Ltd."		141 Union Street	Aberdeen	Boot and shoe makers			
J. S. Shewan & Son		143 Union Street	Aberdeen	Advocates			
Davidson Bros.		143 Union Street	Aberdeen	Cabinetmakers and upholsterers			
"Scottish National Key Registry and Assurance Assoc., Ltd."		143 Union Street	Aberdeen				
Birrell Ltd.		145 Union Street	Aberdeen	Confenctioners			
Irvine & Johnston		147 Union Street	Aberdeen	Stock and share brokers			
A. & E. Clarke		147 Union Street	Aberdeen	Income tax accountants and specialists			
"Goodsons, Ltd."		149 Union Street	Aberdeen	Costumiers			
"McMillans, Ltd."		151 & 155 Union Street	Aberdeen	Merchants			
Trinity Hall		153 Union Street	Aberdeen				
Palace Hotel		159 Union Street	Aberdeen	Hotel			
Geo Pegler & Co.		169 Union Street	Aberdeen	Fruit merchant	6767		
"Wm. Kennaway, Ltd."		173 Union Street	Aberdeen	Confectioners			
John Hay		173A Union Street	Aberdeen	Artist			
A. Marshall McKenzie & Son		173A Union Street	Aberdeen	Architects	835		
John G. Marr		173A Union Street	Aberdeen	Architect	835		
A. J. Miller		173A Union Street	Aberdeen	Chartered accountant	3393		
J. Duncan MacDiarmid		173A Union Street	Aberdeen	Advocate			
R. M. Gordon		173A Union Street	Aberdeen	Solicitor			
"The Car and General Insurance Corporation, Ltd."		173A Union Street	Aberdeen	Insurance	170		
Samuel Munro		173A Union Street	Aberdeen	Stock and share broker	3454		
Miss C. Anderson		173A Union Street	Aberdeen	Cosutmière	914		
John A. Dunn		175 Union Street	Aberdeen	Boot & shoe maker			
"Royal Scottish Society for Prevention of Cruelty to Children, Aberdeen Branch"		177 Union Street	Aberdeen				
George M. Hay		177 Union Street	Aberdeen	Architect	860		
John Craig		177 Union Street	Aberdeen	Solicitor			
R. R. Gall		177 Union Street	Aberdeen	Architect	2203		
Alexander Caithness		177 Union Street	Aberdeen				
Scottish Co-op. Wholesale Soc.		177 Union Street	Aberdeen				
Aberdeen Designs Ltd.		177 Union Street	Aberdeen	Memorial designers			
Marshall & Philip		179 Union Street	Aberdeen	Ironmongers			
The Picture House		181 Union Street	Aberdeen	Theatre			
Peter Mitchell		181B Union Street	Aberdeen	Tobacconist			
"Paterson, Sons, & Marr Wood, Ltd."		183 Union Street	Aberdeen	Music sellers			
"Marr Wood & Patterson Sons, Ltd."		183 Union Street	Aberdeen	Music sellers			
"R. S. McColl, Ltd."		185 Union Street	Aberdeen	Confectioners			
Alfred Catto		189 Union Street	Aberdeen	Tailor			
Hoover Ltd.		189 Union Street	Aberdeen				
"Richard C. Kelman, M.A."		189 Union Street	Aberdeen	Chartered accountant	2395		
A. & J. Smith		191 Union Street	Aberdeen	Jewllers	1137		
Cameron's Register Office		193 Union Street	Aberdeen	Register office for servants			
William Kirkwood		193 Union Street	Aberdeen	Solicitor	403		
James Brown		193 Union Street	Aberdeen	Advertising contractor	2778		
Hazlehead Golf Club		193 Union Street	Aberdeen				
Scottish Federation of Merchant Tailors		193 Union Street	Aberdeen				
Gordon & Smith		195–197 Union Street	Aberdeen	Grocers	6161		
Reith Bros.		199 Union Street	Aberdeen	Taylors and clothiers	405		
Canada House		201 Union Street	Aberdeen				
Stephen & Smith		201 Union Street	Aberdeen	Advocates			
Geo. Mollison		201 Union Street	Aberdeen				
John D. Munro		201 Union Street	Aberdeen	Advocate			
Lieutenancy of Aberdeenshire Office		201 Union Street	Aberdeen		2581		
"North of Scotland Canadian Mortgage Co., Ltd."		201 Union Street	Aberdeen	Lender	2580		
