Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address																			
																													
City Building					 Union Street	Aberdeen	" Links and Parks Department, City Engineers Office, Water Engineer Office"																						
Town House					 Union Street	Aberdeen	"Town Clecks Office,City Chamberlain Office,Town Sergeant Office"	"Lord Provest Edward W Watt, Charles Thompson,Keeper of the Town House"																					
Corperation Gas Showrooms				20	Union Street	Aberdeen		Superintendant D.Parkinson	3748																				
Public Library and Reading Room (East Branch)				22	Union Street	Aberdeen																							
Caledonian Order United Oddfellows				22	Union Street	Aberdeen	Friendly Society	Mrs Maie Bradley																					
Singer Sewing Machine Co LTD				24	Union Street	Aberdeen	Sewing Machine Manufacturers		3600																				
Esslemont and Macintosh LTD	1873			26-38	Union Street	Aberdeen	Drapers		3760																				
		Mrs Maie Bradley		26-38	Union Street	Aberdeen																							
Bank of Scotland 	1695			40	Union Street	Aberdeen	Bank	"James MacDonell, D MackIntosh"	1621																				
James Cassie & Stewart				42	Union Street	Aberdeen	Dentist		2260																				
Millets Store  (1928) LTD	1928			44	Union Street	Aberdeen	Motor Clothing and Hiking Specialists		3175																				
John A Dunn				46	Union Street	Aberdeen	Boot and Shoe Maker																						
National Union  of General and Municipal Workers	1924			46a	Union Street	Aberdeen		"Jas. Thomson, Branch Secretary"																					
Law Union and Rock Insurance Co LTD	1909			46a	Union Street	Aberdeen	Insurance	"A.Bremner Stephen- Resident Secretary, W.Edmund Bell-Solicitor, J.M.Rigg-Secretary, James George"	891																				
John Leding and Son LTD				48	Union Street	Aberdeen	Bakers   Tearoom		2544																				
Gray and Laing				48a	Union Street	Aberdeen	 stock and share brokers		152																				
Andrew Stephen				48a	Union Street	Aberdeen	Solicitor																						
H.M. Inspector of Factories and Workshops (Aberdeen District)				48a	Union Street	Aberdeen	Goverment Contractors	John Gordon																					
W.Walker and Sons				52	Union Street	Aberdeen	"Wine Merchant, tea dealers, general importers"																						
Suttie's Temperance Hotel				54	Union Street	Aberdeen	Unlicenced Hotel	"Alexander Walker, Porprietor "	2378																				
R.S.McColl LTD				54a	Union Street	Aberdeen	Confectioners																						
Department of Health for Scotland				56	Union Street	Aberdeen																							
Wm. Lumsden and Son				58	Union Street	Aberdeen	"Italian warehousemen, tea, wine,and spirit merchants"		260																				
Scottish Insurance Corporation LTD				60	Union Street	Aberdden	Insurance	"Resident Secretary WB Sim,      Assistant Resident Secretary Andrew Berry"	2573																				
Horne and MacKinnon				60	Union Street	Aberdeen	Stock and Share Brokers																						
National Guarantee and Suretyship Association				60	Union Street	Aberdeen		Horne & MacKinnon	2																				
		Alex. H. Rettie		60	Union Street	Aberdeen	Bank Messenger																						
Soutter and Morrison				60	Union Street	Aberdeen	Solicitors	"T.S Morrison  Soutter,R. Veitch"																					
North of Scotland Bank LTD (St. Nicholas Branch)				62	Union Street	Aberdeen	Bank	agent George Howieson		"""County Aberdeen"""																			
Commercial Bank of Scotland LTD ( chief office)				78	Union Street	Aberdeen 	Bank	agent  J.N. Burns	3233																				
			Commercial Bank Building	80	Union Street	Aberdeen																							
		Harry G Smith	Commercial Bank Building	80	Union Street	Aberdeen	Houseman																						
Bertha Pickford 			Commercial Bank Building	80	Union Street	Aberdeen	Milliner																						
James Boyes Leitch			Commercial Bank Building	80	Union Street	Aberdeen	Tailor		6034																				
James Diack			Commercial Bank Building	80	Union Street 	Aberdeen	Printer and  stationery wholesaler		6233																				
Thomas Usher and Sons LTD ( Edinburgh)			Commercial Bank Building	80	Union Street	Aberdeen	Brewers	 agent George W Grant	6549																				
Raffan and Son				82	Union Street	Aberdeen	"Tailors, Hatters and Hosiers"		462																				
Scottish Automobile and General Insurance Co. Ltd				84	Union Street	Aberdeen	Insurance	Branch Manager Gordon Kellock A.C.I.I	3926	"""hazard aberdeen"""																			
"Automotor Finance, LTD"				84	Union Street	Aberdeen	Finance	Branch Manager Gordon Kellock A.C.I.I 	3926	"""hazard aberdeen"""																			
"Salmon and Gluckstein, LTD"				86	Union Street	Aberdeen	Tobacconist																						
George Dickie				88	Union Street	Aberdeen	"Bookseller, Stationer, Bible Depository"	Proprietrix L A Christie	367																				
Leslie Hatt				90-92	Union Street	Aberdeen	Hosier		780																				
R. Gall and Co				94-96	Union Street	Aberdeen	"Underclothing Manufacturers, Ladies Outfitters"																						
The Forsyth Hotel				102	Union Street	Aberdeen																							
"Findlay and Co.,LTD"				104	Union Street	Aberdeen	Tobacconists		6823																				
R. J Smith			London House	106	Union Street	Aberdeen	Draper																						
M.K. Gillespie				116	Union Street	Aberdeen	Fruiterer florist and confectioner																						
J. Lizars				118	Union Street	Aberdeen	Optician and Dealer on Photo Material																						
Queen's Cinema				120	Union Street	Aberdeen																							
Jmaes Allan and Co.(Aberdeen)LTD				122	Union Street	Aberdeen	"Cabinetmakers, upholsterers, Joiners & Funeral Undertakers"	 	297	"""Allans's Upholsterers"""																			
"R.C. Bowers, Granite Co"				124	Union Street	Aberdeen	Granite Merchant	Agent John A Robb	297																				
James M Robertson				124	Union Street	Aberdeen	Tailor		5020																				
James Adams 				124	Union Street	Aberdeen	Watchmaker																						
"Ellis and McHardy, LTD"				130_	Union Street	Aberdeen	"Coal Merchants, Steamship Owners and Commision Agents"	"18 Regent Quay, Aberdeen"	"2889, 2890, 2891"																				
J.W. Baker LTD				136-138	Union Street	Aberdeen	China and Glass		648																				
"Frasers (Aberdeen),LTD"				140	Union Street	Aberdeen	Auctioneer		7307																				
William Raitt				140	Union Street	Aberdeen	Auctioneer		7307																				
Archibald S. Little				140	Union Street	Aberdeen	Insurance Broker		7307																				
Jamieson and Carry				142	Union Street	Aberdeen	Jewellers		1219																				
G and W Thomson				146	Union Street	Aberdeen			1078																				
R Leslie Rollo  				146	Union Street	Aberdeen	Architect		231																				
D. Polson Hall				146	Union Street	Aberdeen	Architect		231																				
"A. Galloway Brown, C.A"				146	Union Street	Aberdeen	Chartered Accountants		5554																				
The Yorkshire Insurance Co LTD	1824			148	Union Street	Aberdeen	Insurance	"Branch Manager Robert Brown, Ernest T Calwell, Resident Secretary"	1260																				
The Scottish Boiler and General Insurance Co LTD	1881			148	Union Street	Aberdeen	Insurance	Resident Secretary Archiebald McAllum	1260																				
"Williamson Booth, Minto and Morrison"				148	Union Street	Aberdeen	Solicitors																						
T. Walker Hector				148	Union Street	Aberdeen	Advocate																						
Adam Bros.LTD				148	Union Street	Aberdeen																							
A. B. Hughes				148	Union Street	Aberdeen	Assessor of fire losses																						
Road Transport and General Insurance Co.LTD				148	Union Street	Aberdeen	Insurance																						
Motor Credit Services LTD				148	Union Street	Aberdeen																							
Pat Grant				150-150_	Union Street	Aberdeen	Hairdresser																						
The Liverpool and London and Globe Insurance Co LTD				150	Union Street 	Aberdeen																							
The Central Insurance Co.LTD				150	Union Street	Aberdeen																							
Royal Exchange Assurance				150	Union Street	Aberdeen																							
"Royal Bank Buildings ,Royal Bank of Scotland"				152	Union Street	Aberdeen	bank	Thomas M Rankin																					
Cochran and MacPherson				152	Union Street	Aberdeen	Advocate																						
F. J Cochran				152	Union Street	Aberdeen																							
N.J.J.Walker  				152	Union Street	Aberdeen	Advocate																						
David G. Cochran				152	Union Street	Aberdeen																							
R.B.Findlayson				152	Union Street	Aberdeen																							
									Local Agent	Telegraphic Address																			
Athenaeum Hotel & Restaurant 				7	 Union St	Aberdeen	Hotel																						
"Findlay & Co., Ltd."				17	 Union St	Aberdeen	Tobacconists																						
Mrs Gordon				19	 Union St	Aberdeen	Boarding house																						
Miss Marion Hay				19	 Union St	Aberdeen	Servants' register and house agent																						
George Alexander				19	 Union St	Aberdeen	"Solicitor, notary public and Justice of Peace Procurator-Fiscal of Aberdeenshire"		777																				
Aberdeen Highland Association; 				19	 Union St	Aberdeen	Agriculture	"hon. secy. and treas., William Watt"																					
Aberdeen Mutual Assurance and Friendly Society				19	 Union St	Aberdeen	Insurance	"secretary, George Alexander"																					
J. F. Gillan				19	 Union St	Aberdeen	Advocate		777																				
Dundee Equitable Boot Depot				21	Union St (Shiprow)	Aberdeen	Retail	manager Daniel McCowan																					
Ross and Ledingham				23	 Union St	Aberdeen	Drapers																						
"Mitchell and Muil, Ltd."				25-25a	 Union St	Aberdeen	"Bakers, luncheon & tea rooms"																						
Press Photos; Cecil Skene				29	Union St	Aberdeen	Press and commercial photographer	Cecil Skene																					
"Maypole Dairy Co., Ltd"				31	 Union St	Aberdeen	Agriculture	"manager, George Mutch"																					
G. H. Swapp				33	 Union St	Aberdeen	Optician		999																				
"G. S. Esson, M.A"				35a	 Union St	Aberdeen	Solicitor		2381																				
"George Anderson, C.A."				35a	 Union St	Aberdeen	Chartered accountant		2684																				
Alexander Cruden				35a	Union St	Aberdeen	Accountant																						
Mackay Bros. & Co. (Aberdeen) Ltd.				35a	Union St	Aberdeen	"Passenger shipping, railway and tourist agents"																						
Norman C Howarth				35a	Union St	Aberdeen	Dentist																						
"Paul Bros., Ltd"				35a	Union St	Aberdeen	Flourmills	" Richard Wilson, agent"																					
"Price's Patent Candle Co., Ltd"				35a	Union St	Aberdeen	Candle makers																						
"Appleton, Machin & Smiles, Ltd."				35a	Union St	Aberdeen	Tea and coffee merchant		6833																				
"H. P. Tyler, Ltd."				37	Union St	Aberdeen	Boot and shoe warehouse																						
British Vacuum Cleaner Co.			Crown Mansions	41_	Union St	Aberdeen	Vacuum cleaners																						
Ross & Company			Crown Mansions	41_	Union St	Aberdeen	Typewriter and duplicator supplies manufacturers																						
H. J. Gray & Connachie			Crown Mansions	41_	Union St	Aberdeen	Advocates		1237																				
W. Dixon Connochie			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
"Gavin Sinclair, J.P."			Crown Mansions	41_	Union St	Aberdeen	Advocates																						
George Forbes			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
John Lints			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
George Gordon			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent		4227																				
Dan Flynn			Crown Mansions	41_	Union St	Aberdeen	Commission agent		7301 & 7302	"""Hockey, Aberdeen"""																			
W. T. C. Penman			Crown Mansions	41_	Union St	Aberdeen	Wholesale millinery																						
Sun Ray Ladies Hairdressing Salon			Crown Mansions	41_	Union St	Aberdeen	Hairdressing		4664																				
Aberdeen Knitwear Co.			Crown Mansions	41_	Union St	Aberdeen																							
"C. & C. House Purchase Co., Ltd. (Glasgow)"	1902		Crown Mansions	41_	Union St	Aberdeen	Building society 																						
"Alex. Bell & Co., "			Crown Mansions	41_	Union St	Aberdeen	Tea merchants																						
Robert Leith			Crown Mansions	41_	Union St	Aberdeen	Manufacturers agent		3206																				
James Morrice & Son 			Crown Mansions	41_	Union St	Aberdeen	Warehousemen																						
"Rowntree & Co., Ltd"	1862		Crown Mansions	41_	Union St	Aberdeen	Confectionery	" J. Blyth, representative"																					
"J. F. Tocher, D.Sc, LL.D., F. I. C"			Crown Mansions	41_	Union St	Aberdeen	"Public analyst, University lecturer, analyst to Highland and Agricultural Society of Scotland"		2729																				
Wm. Jas. Williamson 			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
John Corrigall			Crown Mansions	41_	Union St	Aberdeen	Com. trav.																						
Wm. Pirie			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
"The Provident Clothing and Supply Co., Ltd"			Crown Mansions	41_	Union St	Aberdeen		" R. Allardyce, manager"																					
"J. S. Fry & Sons, Ltd"			Crown Mansions	41_	Union St	Aberdeen	Chocolate manufacturers	"S. A. Williams, agent"																					
"Abercar, Ltd."			Crown Mansions	41_	Union St	Aberdeen	Carbide manufrs.																						
Electrolux Ltd.			Crown Mansions	41_	Union St	Aberdeen	Appliance manufacturer																						
A. R. Wannop			Crown Mansions	41_	Union St	Aberdeen	"Director of county work, College of Agriculture"																						
