OSM_ID	Street	Building_Numbers	Storeys	Height (ft)	Notes																			
314776718	Union Street	142	3		Jamieson and Carry																			
314091322	Union Street		4																					
314091321	Union Street		4																					
314091325	Union Street		4																					
314091333	Union Street	120	3		Cinema / Nightclub																			
314113013	Union Street		4		Glouscester Hotel																			
314113003	Union Street		4																					
314113009	Union Street		4																					
314113010	Union Street		4																					
314113005	Union Street		4																					
314113011	Union Street	"78, 80"	4		Commercial Bank																			
314074034	Union Street				Clydesdale Bank																			
314074025	Union Street																							
314074030	Union Street																							
314074031	Union Street																							
313980735	Union Street																							
313980744	Union Street																							
313980730	Union Street																							
313980750	Union Street																							
313980729	Union Street																							
313980736	Union Street																							
313980733	Union Street				Jamies Italian																			
313980738	Union Street				E&M - corner of Broad Street																			
157311755	Union Street				West Tower																			
313974152	Union Street																							
313974150	Union Street																							
313974154	Union Street				Tollbooth Museum																			
314561430	Union Street				Archibald Simpson																			
																								
					South side of Uniion Street going west 																			
313974147	Union Street				Brewdog (athenaum)																			
313974153	Union Street				Visitor information																			
313943991	Union Street																							
313943990	Union Street																							
313943986	Union Street																							
313943988	Union Street																							
313943987	Union Street																							
313943985	Union Street																							
313943989	Union Street				exit to Vue Cinema																			
314020857	Union Street																							
314020855	Union Street																							
314020861	Union Street																							
314020851	Union Street																							
314020864	Union Street																							
314021127	Union Street				Gregs																			
314021129	Union Street																							
314021126	Union Street																							
314021130	Union Street				Sports Direct																			
314113012	Union Street				Cafe Nero (Lush?)																			
314113007	Union Street																							
314113004	Union Street																							
314113006	Union Street																							
314113008	Union Street																							
314113002	Union Street				Three mobile shop																			
316910796	Union Street				xmas shop?																			
404572403	Union Street				McDonalds																			
404572401	Union Street																							
404572405	Union Street																							
404572404																								
																								
314113013	Union Street	104			Vape Scotland																			
314113013	Union Street	100			Peterkins																			
314113003	Union Street	98			O2																			
314113003	Union Street	92			Vodaphone																			
314113010	Union Street	92			Vodaphone																			
314113010	Union Street	88			Mcgowans Jeweller																			
314113005	Union Street	86			Timpson																			
314113005	Union Street	82			Casepoint																			
314113011	Union Street	78			Royal Bank of Scotland																			
																								
314074034	Union Street	62			Clydesdale bank outside M&S																			
																								
314074025	Union Street				Specsavers																			
314074030	Union Street	52-54			Halifax																			
																								
	Union Street	199		70																				
	Union Street	421		39																				
	Union Street	445		64.5																				
	Union Street	260		68.5																				
